title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Mummy: Tomb of the Dragon Emperor",movie,"Action, Adventure, Fantasy",2008,tt0859163,5.2,173167,AU
"Canadian Bacon",movie,"Action, Comedy",1995,tt0109370,5.9,18186,US
"An Inconvenient Truth",movie,Documentary,2006,tt0497116,7.4,85645,IT
"May Fools",movie,"Comedy, Romance",1990,tt0097884,7.2,3481,DE
Footloose,movie,"Drama, Music, Romance",1984,tt0087277,6.6,95770,"AT, CA, CH, DE, FR, GB, IE, IT, US"
"La Cérémonie",movie,"Crime, Drama, Thriller",1995,tt0112769,7.5,14179,DE
Angel,movie,"Action, Crime, Thriller",1983,tt0086896,5.8,4849,CA
"The Rules of Attraction",movie,"Comedy, Drama, Romance",2002,tt0292644,6.6,53891,IN
"Shoot the Piano Player",movie,"Crime, Drama, Thriller",1960,tt0054389,7.4,20979,DE
"Over the Top",movie,"Action, Drama, Sport",1987,tt0093692,5.8,60994,"BR, CL, CO, MX"
Entrapment,movie,"Action, Crime, Romance",1999,tt0137494,6.3,125529,DE
"World Trade Center",movie,"Drama, History, Thriller",2006,tt0469641,6,88824,"AT, CH, DE, FR, GB, IE, IT, US"
Transformers,movie,"Action, Adventure, Sci-Fi",2007,tt0418279,7.1,685491,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Fantomas Unleashed",movie,"Adventure, Comedy, Crime",1965,tt0059168,6.8,8515,DE
Fantomas,movie,"Adventure, Comedy, Crime",1964,tt0058089,6.9,12453,DE
"Fantomas vs. Scotland Yard",movie,"Adventure, Comedy, Crime",1967,tt0060400,6.7,8110,DE
"Red Dawn",movie,"Action, Drama, Thriller",1984,tt0087985,6.3,64563,"BR, CL, CO, MX, US"
"Malcolm X",movie,"Biography, Drama, History",1992,tt0104797,7.7,103832,IN
"The Karate Kid",movie,"Action, Drama, Family",1984,tt0087538,7.3,251594,US
"Children of a Lesser God",movie,"Drama, Romance",1986,tt0090830,7.2,19042,"AT, CH, DE, FR, GB, IE, IT"
Traffic,movie,"Crime, Drama, Thriller",2000,tt0181865,7.6,222364,IN
"Open Your Eyes",movie,"Drama, Mystery, Sci-Fi",1997,tt0125659,7.7,74245,IN
"Vanilla Sky",movie,"Fantasy, Mystery, Romance",2001,tt0259711,6.9,289876,"AT, CH, DE, FR, GB, IE, IT, US"
"Away from Her",movie,Drama,2006,tt0491747,7.5,23254,CA
Hulk,movie,"Action, Sci-Fi",2003,tt0286716,5.6,282177,"AU, US"
"The Others",movie,"Horror, Mystery, Thriller",2001,tt0230600,7.6,401742,"BR, CL, CO, GB, MX"
Exodus,movie,"Action, Drama, War",1960,tt0053804,6.7,11713,"CL, CO, MX"
Crank,movie,"Action, Crime, Thriller",2006,tt0479884,6.9,267509,"BR, CL, CO, IN, MX"
Zodiac,movie,"Crime, Drama, Mystery",2007,tt0443706,7.7,616372,"CA, US"
"The Elephant Man",movie,"Biography, Drama",1980,tt0080678,8.2,263385,"DE, GB"
Gerry,movie,"Adventure, Drama, Mystery",2002,tt0302674,6,20039,DE
Enough,movie,"Crime, Drama, Thriller",2002,tt0278435,5.8,48728,US
"8 Women",movie,"Comedy, Crime, Musical",2002,tt0283832,7,34792,DE
"Fools Rush In",movie,"Comedy, Drama, Romance",1997,tt0119141,6.1,40265,US
Bandidas,movie,"Action, Comedy, Crime",2006,tt0416496,5.7,37747,IN
"The Constant Gardener",movie,"Drama, Mystery, Romance",2005,tt0387131,7.3,150397,DE
