title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Open Water",movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,57313,"HN, RS, US"
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,104704,"HN, US"
"Taxi Driver",movie,"Crime, Drama",1976,tt0075314,8.2,948333,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"Back to the Future",movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1340186,"BE, FR, MC"
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,926760,"BA, BG, BZ, CZ, DO, EC, HR, HU, JM, LC, MD, ME, MK, PA, PL, PY, RO, SI, SK, TC, VE"
"Three Colors: Blue",movie,"Drama, Music, Mystery",1993,tt0108394,7.8,112669,"AG, BB, BS, DK, FI, HN, NI, NO, SE, TT, US"
"Three Colors: White",movie,"Comedy, Drama, Romance",1994,tt0111507,7.6,81219,"AG, BB, BS, DK, FI, HN, NI, NO, SE, TT, US"
"Three Colors: Red",movie,"Drama, Mystery, Romance",1994,tt0111495,8.1,111850,"AG, BB, BS, DK, FI, HN, NI, NO, SE, TT, US"
"Pretty Woman",movie,"Comedy, Romance",1990,tt0100405,7.1,374318,"DK, ES, FI, NO, SE, US"
"Charlie and the Chocolate Factory",movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,540208,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, HR, HU, JM, LC, MD, ME, MK, MX, NI, PA, PE, PL, PT, PY, RO, SI, SK, SV, TC, TT, UY, VE"
"The Lord of the Rings: The Fellowship of the Ring",movie,"Action, Adventure, Drama",2001,tt0120737,8.9,2055132,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"The Lord of the Rings: The Two Towers",movie,"Action, Adventure, Drama",2002,tt0167261,8.8,1825886,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"The Lord of the Rings: The Return of the King",movie,"Action, Adventure, Drama",2003,tt0167260,9,2025288,"AD, AG, AR, BA, BB, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, GT, HN, HR, HU, JM, LC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, US, UY, VE"
"Princess Mononoke",movie,"Action, Adventure, Animation",1997,tt0119698,8.3,445500,"AG, BB, BS, HN, NI, RS, TT, US"
"Spirited Away",movie,"Adventure, Animation, Family",2001,tt0245429,8.6,877032,"AG, BB, BS, HN, NI, TT, US"
"Gimme Shelter",movie,"Documentary, Music, Thriller",1970,tt0065780,7.8,13110,"AG, BB, BS, HN, NI, TT, US"
Primary,movie,"Documentary, History, News",1960,tt0054205,7.1,1540,"AG, BB, BS, HN, NI, TT, US"
"Bob Dylan: Dont Look Back",movie,"Documentary, Music",1967,tt0061589,7.9,10161,"AG, BB, BS, HN, NI, TT, US"
"Bad Education",movie,"Crime, Drama",2004,tt0275491,7.4,64143,"AG, BB, BS, HN, NI, TT"
"Brokeback Mountain",movie,"Drama, Romance",2005,tt0388795,7.7,392852,"BA, BG, HN, HR, HU, MD, ME, SI, SK, US"
"Wings of Desire",movie,"Drama, Fantasy, Romance",1987,tt0093191,7.9,79059,"AG, BB, BS, HN, NI, TT, US"
"Breaking the Waves",movie,Drama,1996,tt0115751,7.8,72691,"AG, BB, BS, HN, NI, TT"
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,284669,"CZ, HN, RO, RS, US"
"The 400 Blows",movie,"Crime, Drama",1959,tt0053198,8,129774,"AG, BB, BS, DK, FI, HN, NI, NO, SE, TT, US"
"Star Trek: The Motion Picture",movie,"Adventure, Mystery, Sci-Fi",1979,tt0079945,6.4,98146,"AG, BB, BS, HN, NI, TT"
"Lost in Translation",movie,"Comedy, Drama",2003,tt0335266,7.7,501779,HN
"Star Trek II: The Wrath of Khan",movie,"Action, Adventure, Sci-Fi",1982,tt0084726,7.7,130977,"AG, BB, BS, HN, NI, TT"
"The Dark Knight",movie,"Action, Crime, Drama",2008,tt0468569,9,2940037,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"Star Trek III: The Search for Spock",movie,"Action, Adventure, Sci-Fi",1984,tt0088170,6.6,87434,"AG, BB, BS, HN, NI, TT"
"Ocean's Eleven",movie,"Crime, Thriller",2001,tt0240772,7.7,632041,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Edward Scissorhands",movie,"Drama, Fantasy, Romance",1990,tt0099487,7.9,536421,"AG, BB, BS, NI, TT"
"Ocean's Twelve",movie,"Crime, Thriller",2004,tt0349903,6.5,420307,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Back to the Future Part II",movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,585410,"BE, FR, MC"
"Star Trek IV: The Voyage Home",movie,"Action, Adventure, Comedy",1986,tt0092007,7.3,92853,"AG, BB, BS, HN, NI, TT"
"Star Trek V: The Final Frontier",movie,"Action, Adventure, Fantasy",1989,tt0098382,5.5,65208,"AG, BB, BS, HN, NI, TT"
"Star Trek VI: The Undiscovered Country",movie,"Action, Adventure, Sci-Fi",1991,tt0102975,7.2,82032,"AG, BB, BS, HN, NI, TT"
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,479427,US
"Blown Away",movie,"Action, Crime, Drama",1994,tt0109303,6.2,34419,"AG, BB, BS, HN, NI, TT, US"
"The Interpreter",movie,"Crime, Mystery, Thriller",2005,tt0373926,6.4,111810,FR
"The Good German",movie,"Drama, Mystery, Romance",2006,tt0452624,6,26272,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
"A Clockwork Orange",movie,"Crime, Sci-Fi",1971,tt0066921,8.2,895461,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, JM, LC, MC, MX, NI, PA, PE, PT, PY, SV, TC, TT, UY, VE"
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,800277,FR
"Star Trek: Generations",movie,"Action, Adventure, Mystery",1994,tt0111280,6.6,88164,"AG, BB, BS, HN, NI, RS, TT"
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,805734,US
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.4,490746,"BE, FR"
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1108663,ES
"To Be or Not to Be",movie,"Comedy, Romance, War",1942,tt0035446,8.1,44603,"AG, BB, BS, HN, NI, TT, US"
"Star Trek: First Contact",movie,"Action, Adventure, Drama",1996,tt0117731,7.6,133602,"AG, BB, BS, HN, NI, RS, TT"
"Star Trek: Insurrection",movie,"Action, Adventure, Sci-Fi",1998,tt0120844,6.4,80441,"AG, BB, BS, HN, NI, TT"
"Star Trek: Nemesis",movie,"Action, Adventure, Sci-Fi",2002,tt0253754,6.4,84958,"AG, BB, BS, HN, NI, TT"
"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,121843,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,68064,"AG, BB, BS, HN, NI, TT, US"
"North by Northwest",movie,"Action, Adventure, Mystery",1959,tt0053125,8.3,352129,"BE, BZ, DO, EC, FR, JM, LC, MC, PY, TC, VE"
"Saw III",movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,217220,US
"Saw II",movie,"Horror, Mystery",2005,tt0432348,6.6,282625,US
"Ali: Fear Eats the Soul",movie,"Drama, Romance",1974,tt0071141,8,24469,"AG, BB, BS, HN, NI, RS, TT, US"
"East of Eden",movie,Drama,1955,tt0048028,7.8,49534,"BE, FR, MC"
"Rebel Without a Cause",movie,Drama,1955,tt0048545,7.6,99351,"BE, BZ, DO, EC, FR, JM, LC, MC, PY, TC, VE"
"Berlin: Symphony of Metropolis",movie,Documentary,1927,tt0017668,7.6,4871,"AG, BB, BS, HN, NI, TT, US"
"Bride of Frankenstein",movie,"Drama, Horror, Sci-Fi",1935,tt0026138,7.8,54754,"AR, BO, CL, CO, CR, GT, MX, PE, SV, UY"
Syriana,movie,"Drama, Thriller",2005,tt0365737,6.9,135412,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2062487,ES
"Some Like It Hot",movie,"Comedy, Music, Romance",1959,tt0053291,8.2,288171,"AG, BB, BS, NI, TT"
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1393233,ES
"Natural Born Killers",movie,"Action, Crime, Romance",1994,tt0110632,7.2,256126,"AG, BS, TT"
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,431317,ES
"King Kong",movie,"Adventure, Horror",1933,tt0024216,7.9,92475,"AG, BB, BS, BZ, DO, EC, HN, JM, LC, NI, PY, RS, TC, TT, VE"
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,241565,"AG, BB, BS, NI, TT"
"Willy Wonka & the Chocolate Factory",movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,232284,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Live and Let Die",movie,"Action, Adventure, Thriller",1973,tt0070328,6.7,117478,"AG, BB, BS, NI, TT"
"The 39 Steps",movie,"Crime, Mystery, Thriller",1935,tt0026029,7.6,62677,"AG, BB, BS, HN, NI, TT, US"
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,412706,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,89528,"AG, BB, BS, HN, NI, TT, US"
"Batman Begins",movie,"Action, Crime, Drama",2005,tt0372784,8.2,1610748,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DO, EC, ES, FR, GT, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, PA, PE, PL, PT, PY, RO, RS, SI, SK, SV, TC, TT, US, UY, VE"
"The Silence of the Lambs",movie,"Crime, Drama, Thriller",1991,tt0102926,8.6,1588066,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
Fargo,movie,"Crime, Thriller",1996,tt0116282,8.1,738979,"AG, BA, BB, BG, BS, CZ, HN, HR, HU, MD, ME, MK, NI, PL, RO, SI, SK, TT"
Underworld,movie,"Action, Fantasy, Thriller",2003,tt0320691,7,289619,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
"The Shawshank Redemption",movie,Drama,1994,tt0111161,9.3,2958279,"AD, AR, BE, BO, BR, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NO, PA, PE, PT, PY, SE, SV, TC, UY, VE"
"Strange Days",movie,"Crime, Drama, Sci-Fi",1995,tt0114558,7.2,79715,"AG, BB, BS, NI, TT"
Casablanca,movie,"Drama, Romance, War",1942,tt0034583,8.5,616791,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
"Desert Hearts",movie,"Drama, Romance",1985,tt0089015,7.1,7614,"AG, BB, BS, HN, NI, RS, TT, US"
"Meet Joe Black",movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,272167,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
"Ocean's Thirteen",movie,"Crime, Thriller",2007,tt0496806,6.9,372545,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SE, SV, TC, TT, UY, VE"
"Ocean's Eleven",movie,"Comedy, Crime, Music",1960,tt0054135,6.5,25714,"AG, BB, BS, NI, TT"
"Rio Bravo",movie,Western,1959,tt0053221,8,69473,"BE, FR, MC"
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,29855,"AG, BB, BS, HN, NI, TT, US"
"Broken Flowers",movie,"Comedy, Drama, Mystery",2005,tt0412019,7.1,107714,PL
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,442514,"DK, FI, NO, SE"
Catwoman,movie,"Action, Crime, Fantasy",2004,tt0327554,3.4,127555,"AD, AG, BB, BE, BS, BZ, DO, EC, ES, FR, JM, LC, MC, NI, NL, PA, PT, PY, TC, TT, VE"
"Mystic River",movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,494421,"AD, AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, PA, PE, PT, PY, SV, TC, UY, VE"
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146039,"AR, BO, BR, CL, CO, CR, GT, MX, PE, SV, UY"
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1091404,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK, US"
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,451233,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,346328,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
Magnolia,movie,Drama,1999,tt0175880,8,333178,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"Good Bye Lenin!",movie,"Comedy, Drama, Romance",2003,tt0301357,7.7,154383,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,67359,"AG, BB, BS, HN, NI, TT, US"
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,385390,"AD, AR, BE, BO, BR, BZ, CL, CO, CR, DO, EC, ES, FR, GT, JM, LC, MC, MX, PA, PE, PT, PY, SV, TC, UY, VE"
"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,374016,"AG, BB, BS, HN, NI, TT, US"
"People on Sunday",movie,"Comedy, Drama, Romance",1930,tt0020163,7.3,3623,"AG, BB, BS, HN, NI, TT, US"
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,484476,"AG, BB, BS, HN, NI, RS, TT, US"
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,334110,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
"A Nightmare on Elm Street",movie,Horror,1984,tt0087800,7.4,271638,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, ES, GT, JM, LC, MX, NL, PA, PE, PY, SV, TC, US, UY, VE"
"Rain Man",movie,Drama,1988,tt0095953,8,555077,"CZ, RO"
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,404613,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"A Fistful of Dollars",movie,"Action, Drama, Western",1964,tt0058461,7.9,238306,"AG, BB, BS, HN, NI, RS, TT"
"Who's Afraid of Virginia Woolf?",movie,Drama,1966,tt0061184,8,81267,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"French Kiss",movie,"Comedy, Drama, Romance",1995,tt0113117,6.6,53985,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
Capote,movie,"Biography, Crime, Drama",2005,tt0379725,7.3,142826,"BA, BG, HR, MD, ME, MK, SI, SK"
"Garden State",movie,"Comedy, Drama, Romance",2004,tt0333766,7.4,224914,US
"Driving Miss Daisy",movie,"Comedy, Drama",1989,tt0097239,7.3,119176,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"La Strada",movie,Drama,1954,tt0047528,8,67412,"AG, BB, BS, HN, NI, TT, US"
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,270501,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DO, EC, ES, FR, GT, HN, JM, LC, MC, MX, NI, NL, PA, PE, PT, PY, RS, SV, TC, TT, US, UY, VE"
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,272008,"AD, AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, ES, FI, FR, GT, HN, JM, LC, MC, MX, NI, NL, NO, PA, PE, PT, PY, SV, TC, TT, US, UY, VE"
8½,movie,Drama,1963,tt0056801,8,127100,"AG, BB, BS, DK, FI, HN, NI, NO, RS, SE, TT, US"
"Schindler's List",movie,"Biography, Drama, History",1993,tt0108052,9,1483840,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
"Ice Age",movie,"Adventure, Animation, Comedy",2002,tt0268380,7.5,530911,"CZ, RO"
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.3,435927,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"My Uncle",movie,Comedy,1958,tt0050706,7.7,24656,"AG, BB, BS, HN, NI, TT, US"
"The Good, the Bad and the Ugly",movie,"Adventure, Drama, Western",1966,tt0060196,8.8,828989,"AG, BB, BS, HN, NI, RS, TT"
"Maria Full of Grace",movie,"Crime, Drama",2004,tt0390221,7.4,36495,"AG, AR, BA, BB, BG, BO, BR, BS, CL, CO, CR, CZ, DO, GT, HN, HR, HU, JM, MD, ME, MK, MX, NI, PA, PE, PL, PY, RO, SI, SK, SV, TT, US, UY, VE"
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,86627,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, SI, SK"
"Leaving Las Vegas",movie,"Drama, Romance",1995,tt0113627,7.5,137575,"AG, BB, BS, HN, NI, TT, US"
"Erin Brockovich",movie,"Biography, Drama",2000,tt0195685,7.4,226973,"BE, CZ, ES, FR, RO"
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,41315,"AG, BB, BS, HN, NI, TT, US"
"Bonnie and Clyde",movie,"Action, Biography, Crime",1967,tt0061418,7.7,122537,"AR, BE, BO, BR, CL, CO, CR, FR, GT, MC, MX, PE, SV, UY"
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1100069,"AG, BB, BS, ES, HN, NI, RS, TT"
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,202727,"AG, BB, BS, HN, NI, TT, US"
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1442547,"AR, BE, BO, BR, CL, CO, CR, DK, FI, FR, GT, MX, NO, PE, SV, UY"
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,28418,"AG, BB, BS, HN, NI, TT, US"
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,111722,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,165003,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,54989,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,352409,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"One Flew Over the Cuckoo's Nest",movie,Drama,1975,tt0073486,8.7,1091763,"AR, BO, BR, CL, CO, CR, GT, MX, NL, PE, SV, UY"
Scoop,movie,"Comedy, Crime, Fantasy",2006,tt0457513,6.6,88443,"FR, MC"
"Wallace & Gromit: The Curse of the Were-Rabbit",movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,148628,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"Terminator Salvation",movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,381831,"BA, BG, HN, HR, HU, MD, ME, MK, SI, SK, US"
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,60724,"AG, BB, BS, HN, NI, TT"
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,734608,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
D.E.B.S.,movie,"Action, Comedy, Romance",2004,tt0367631,5.4,18337,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
"The Crime of Padre Amaro",movie,"Drama, Romance",2002,tt0313196,6.7,14556,"BZ, DO, EC, JM, LC, PA, PY, TC, VE"
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,184652,"AG, BB, BS, HN, NI, TT, US"
Basquiat,movie,"Biography, Drama",1996,tt0115632,6.9,22452,"HN, US"
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,900577,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"Spider-Man 2",movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,727116,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"Spider-Man 3",movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,652702,"AR, BO, BR, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,383093,"AG, AR, BB, BE, BO, BR, BS, BZ, CL, CO, CR, DK, DO, EC, FI, FR, GT, JM, LC, MC, MX, NI, NL, NO, PA, PE, PY, SE, SV, TC, TT, UY, VE"
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,472116,"BE, FR"
"Rear Window",movie,"Mystery, Thriller",1954,tt0047396,8.5,533140,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,320915,"AR, BO, BZ, CL, CO, CR, DO, EC, GT, JM, LC, MX, PA, PE, PY, SV, TC, UY, VE"
